"accountid","word"
28,"heart"
28,"break"
28,"mind"
28,"body"
28,"function"
28,"past"
28,"school"
28,"lady/girl"
28,"prevent"
28,"contact"
28,"friend"
28,"love"
28,"moment"
28,"afraid"
28,"share"
28,"prevent"
28,"question/answer"
28,"kill"
28,"control"
28,"hand"
28,"affect"
28,"reason"
28,"family planning"
28,"school"
28,"lady/girl"
28,"hear"
28,"child"
28,"future"
28,"prevent"
28,"pregnant"
28,"family planning"
28,"arm"
28,"detect"
28,"sign/symptom"
28,"period"
28,"afraid"
28,"mother"
28,"afraid"
28,"situation"
28,"type"
28,"family"
28,"miss"
28,"abortion"
28,"abortion"
28,"abortion"
30,"fuck"
30,"time"
30,"feel"
30,"pregnant"
30,"ready"
32,"student"
32,"family planning"
32,"sign/symptom"
32,"hiv/aids"
36,"effect/side effect"
36,"family planning"
36,"viginal"
36,"discharge"
36,"contraception/method"
38,"start"
38,"period"
38,"date"
38,"date"
38,"start"
38,"count"
38,"(un)safe/days"
39,"safe"
39,"sex"
39,"pregnant"
39,"period"
40,"prefer"
40,"function"
40,"condom"
40,"sexual"
40,"condom"
40,"protection"
40,"couple"
40,"prevent"
40,"infection"
40,"wife/husband/partner"
40,"infect"
40,"child"
40,"person"
40,"detect"
40,"effect/side effect"
40,"infect"
40,"person"
40,"depend"
40,"birth"
40,"twin"
40,"child"
40,"complain"
40,"sex"
40,"true"
40,"true"
40,"sti's"
40,"effect/side effect"
41,"condom"
43,"feel"
43,"pain"
43,"attend"
44,"prostate"
44,"cancer"
47,"oral"
47,"sex"
47,"breast"
47,"cancer"
51,"HIV/AIDS"
51,"infect"
53,"effect/side effect"
53,"vasectomy"
58,"feel"
58,"pain"
58,"period"
58,"da"
58,"reason"
58,"pregnant"
58,"immediately"
58,"period"
58,"question/answer"
58,"question/answer"
58,"expire"
58,"expire"
58,"period"
58,"sex"
58,"pregnant"
58,"period"
58,"wait"
58,"response"
58,"itch"
58,"injection"
58,"expire"
58,"pain"
58,"abnormal"
58,"discharge"
58,"recently"
58,"soap"
58,"soap"
58,"itch"
58,"injection"
58,"period"
58,"stop"
58,"worry"
58,"strong"
58,"pregnant"
58,"test"
58,"negative"
58,"tel"
58,"pregnant"
58,"family planning"
58,"low"
58,"abdominal"
58,"pain"
58,"nausea"
58,"effect/side effect"
58,"injection"
58,"pill"
58,"implant"
58,"injection"
58,"question/answer"
58,"wait"
58,"pregnant"
58,"feel"
58,"low"
58,"abdominal"
58,"pain"
58,"sex"
58,"white"
58,"discharge"
58,"pain"
58,"side"
58,"abdominal"
58,"pregnant"
58,"contraception/method"
58,"pill"
58,"implant"
58,"injection"
61,"sign/symptom"
61,"STD"
62,"causative"
62,"agent"
62,"chancroid"
62,"genital"
62,"herpes"
63,"lady/girl"
63,"sex"
63,"prolong"
63,"ejaculate"
63,"sex"
63,"satisfy"
63,"wife/husband/partner"
63,"bed"
63,"sex"
63,"wife/husband/partner"
63,"orgasm"
66,"infect"
66,"contraception/method"
67,"child"
67,"county"
67,"baby"
67,"abortion"
67,"send"
67,"numb"
67,"pill"
68,"contraception/method"
68,"family planning"
69,"finish"
69,"period"
69,"ago"
69,"unprotected sex"
69,"pregnant"
69,"true"
69,"share"
69,"lead"
69,"STD"
69,"HIV/AIDS"
70,"reply"
70,"service"
70,"friend"
70,"recommend"
70,"happy"
70,"love"
70,"plan"
71,"effect/side effect"
71,"contraception/method"
72,"breast"
72,"cancer"
72,"bring"
72,"cervical"
72,"cancer"
73,"increase"
73,"fertility/infertility"
74,"people"
74,"miss"
74,"period"
74,"family planning"
75,"sema"
75,"injection"
75,"plan"
76,"feel"
76,"abdominal"
76,"pain"
76,"fail"
76,"fuck"
76,"heat"
76,"alady"
76,"question/answer"
76,"effect/side effect"
76,"condom"
76,"time"
76,"sexual"
76,"question/answer"
76,"lady/girl"
76,"fail"
76,"impregnate"
76,"sleep"
76,"period"
76,"circle"
76,"suppose"
76,"alady"
76,"date"
76,"period"
76,"impregnate"
76,"female"
76,"libido"
76,"reduce"
76,"ejaculate"
76,"difference"
76,"penis"
76,"lady/girl"
76,"feel"
76,"lady/girl"
76,"tend"
76,"feel"
76,"ejaculate"
76,"process"
76,"withdrawal"
76,"penis"
76,"urinate"
76,"bed"
76,"age"
76,"lady/girl"
76,"rate"
76,"boy"
76,"effect/side effect"
76,"effect/side effect"
76,"aproblem"
76,"fail"
76,"sign/symptom"
76,"conception"
76,"easily"
76,"pill"
76,"family planning"
76,"sign/symptom"
76,"effect/side effect"
76,"skin"
76,"lady/girl"
76,"fat"
76,"sexual"
76,"bring"
76,"blood/bleed"
76,"lady/girl"
76,"period"
76,"circle"
77,"age"
77,"sexual"
77,"active"
78,"uti"
78,"death"
78,"prevent"
78,"pregnant"
78,"condom"
78,"pill"
79,"effect/side effect"
79,"refuse"
79,"question/answer"
79,"question/answer"
79,"sex"
79,"orgasm"
79,"penis"
79,"inside"
79,"start"
79,"ejaculate"
79,"play"
79,"sex"
80,"type"
80,"condom"
86,"sign/symptom"
86,"sign/symptom"
86,"pregnant"
86,"realise"
86,"pregnant"
86,"pregnant"
86,"test"
86,"free"
87,"treat"
87,"syphilis"
89,"issue"
89,"reproductive"
89,"organ"
89,"erect"
89,"dick"
89,"time"
89,"sex"
89,"lady/girl"
89,"bed"
89,"feel"
89,"dick"
89,"sex"
89,"dick"
89,"gain"
89,"erect"
89,"assist"
89,"sex"
89,"position"
89,"pussy"
89,"question/answer"
91,"emergency pills"
91,"contraception/method"
91,"family planning"
94,"family planning"
94,"effect/side effect"
94,"people"
94,"contraception/method"
98,"sex"
98,"lead"
98,"pill"
98,"family planning"
98,"harm"
98,"period"
98,"time"
102,"(un)safe/days"
102,"cycle"
102,"period"
102,"april"
102,"sex"
102,"pregnant"
104,"femi"
104,"plan"
104,"contraception/method"
104,"kwa"
104,"effect/side effect"
104,"femi"
104,"plan"
104,"wit"
105,"contraception/method"
105,"family planning"
105,"effect/side effect"
105,"pill"
105,"breastfeed"
105,"connect"
105,"pill"
105,"advice"
105,"mother"
105,"breastfeed"
111,"prefer"
111,"question/answer"
111,"chance"
111,"wife/husband/partner"
111,"expectant"
111,"love"
111,"wanna"
111,"child"
112,"family planning"
112,"health"
112,"effect/side effect"
112,"pregnant"
114,"correct"
114,"visit"
114,"facility"
116,"prevent"
116,"pain"
116,"period"
117,"experience"
117,"leg"
118,"implant"
121,"reproduction"
122,"pimple"
122,"treat"
123,"student"
123,"university"
123,"gender"
123,"time"
123,"job"
123,"reply"
123,"feedback"
125,"type"
125,"ovary"
125,"call"
125,"send"
125,"question/answer"
125,"heart"
125,"heart"
126,"norplant"
126,"effect/side effect"
129,"understand"
129,"family planning"
129,"student"
129,"plan"
129,"family planning"
130,"love"
130,"disease"
130,"call"
130,"jakadala"
135,"prostate"
135,"cancer"
137,"positive"
137,"side"
137,"family planning"
139,"cancer"
139,"sexual"
139,"sex"
140,"effect/side effect"
140,"implant"
143,"prostate"
143,"cancer"
143,"control"
144,"effect/side effect"
147,"stay"
147,"relationship"
147,"wife/husband/partner"
147,"positive"
147,"question/answer"
147,"wife/husband/partner"
147,"cry"
147,"pain"
147,"deep"
147,"sex"
147,"wife/husband/partner"
147,"bed"
147,"treat"
147,"claim"
147,"sex"
147,"understand"
148,"normal"
148,"period"
148,"period"
148,"normal"
148,"time"
149,"kiswahili"
149,"age"
149,"sex"
149,"satisfy"
149,"age"
149,"STD"
149,"disease"
149,"affect"
149,"youth"
150,"benefit"
150,"circumcision"
150,"pregnant"
150,"sex"
150,"pass"
150,"period"
150,"period"
150,"stress"
150,"wife/husband/partner"
150,"protection"
150,"lady/girl"
150,"undergo"
150,"period"
150,"conceive"
150,"masturbation"
150,"effect/side effect"
150,"affect"
150,"child"
150,"bear"
150,"future"
150,"life"
150,"frequent"
150,"sperm"
150,"loss"
150,"fertility/infertility"
150,"(un)safe/days"
150,"lady/girl"
150,"pregnant"
150,"(un)safe/days"
150,"start"
150,"sex"
152,"miss"
152,"period"
156,"time"
156,"sex"
156,"lady/girl"
156,"child"
158,"risk"
158,"family planning"
158,"contraception/method"
159,"transport"
159,"voucher"
161,"lady/girl"
161,"miss"
161,"period"
161,"worry"
161,"irregular"
161,"period"
161,"stage"
161,"relate"
161,"medical"
161,"condition"
161,"question/answer"
163,"call"
163,"sign/symptom"
164,"pregnant"
164,"sex"
164,"cycle"
164,"relationship"
164,"pregnant"
164,"school"
164,"contraception/method"
164,"advice"
164,"pregnant"
164,"lady/girl"
164,"due"
164,"birth"
164,"advice"
164,"pregnant"
164,"lady/girl"
164,"due"
164,"birth"
164,"reduce"
164,"fat"
165,"depo"
165,"conceive"
165,"past"
165,"conceive"
165,"question/answer"
172,"benefit"
172,"contraception/method"
175,"feel"
175,"lover"
175,"loose"
175,"time"
175,"contact"
175,"period"
175,"pregnant"
175,"sex"
175,"unprotected sex"
175,"wife/husband/partner"
175,"regular"
175,"period"
175,"feel"
175,"loose"
175,"lover"
175,"sign/symptom"
175,"relationship"
175,"sex"
175,"condom"
175,"period"
175,"side"
175,"comfortable"
175,"condom"
175,"fertility/infertility"
176,"age"
176,"lady/girl"
176,"wife/husband/partner"
176,"sleep"
176,"sleep"
178,"advice"
178,"contraception/method"
179,"tube"
179,"short"
179,"call"
179,"experience"
179,"pain"
181,"contraception/method"
185,"lady/girl"
185,"pill"
185,"miss"
185,"pill"
187,"short"
187,"call"
187,"feel"
187,"pain"
187,"abdominal"
188,"feel"
188,"pain"
188,"low"
188,"abdominal"
188,"white"
188,"STD"
188,"medication"
190,"HIV/AIDS"
190,"infect"
190,"person"
191,"guy"
191,"date"
191,"realy"
191,"headache"
191,"plant"
191,"period"
191,"normal"
193,"syphilis"
193,"control"
196,"sign/symptom"
196,"prostate"
196,"cancer"
197,"effect/side effect"
197,"prep"
200,"receive"
200,"voucher"
201,"wife/husband/partner"
201,"unprotected sex"
201,"parent"
204,"negative"
204,"effect/side effect"
204,"family planning"
205,"blood/bleed"
206,"treat"
206,"enlarge"
206,"penis"
206,"sex"
206,"people"
206,"base"
206,"sleep"
206,"condom"
206,"pregnant"
206,"lady/girl"
206,"pregnant"
206,"prevent"
206,"unprotected sex"
206,"tablet"
206,"prevent"
206,"HIV/AIDS"
206,"hiv/aids"
206,"sex"
206,"infect"
206,"pep"
206,"save"
206,"prep"
206,"tablet"
206,"prevent"
206,"HIV/AIDS"
206,"hiv/aids"
206,"sex"
206,"infect"
206,"vasectomy"
206,"prevent"
206,"prep"
206,"pep"
206,"prep"
206,"contact"
206,"HIV/AIDS"
207,"(un)safe/days"
207,"danger"
208,"save"
208,"prevent"
208,"pregnant"
208,"family planning"
208,"contraception/method"
208,"bless"
208,"baby"
208,"period"
208,"birth"
208,"move"
208,"sex"
208,"family planning"
208,"contraception/method"
208,"start"
208,"pregnant"
208,"risk"
208,"contraception/method"
208,"moment"
208,"due"
208,"blood/bleed"
208,"pressure"
208,"undergo"
210,"depo"
210,"fertility/infertility"
211,"normal"
211,"pregnant"
211,"period"
214,"sign/symptom"
214,"breast"
214,"cancer"
215,"sex"
217,"vagina"
217,"time"
217,"discharge"
217,"itch"
217,"lead"
217,"pimple"
217,"time"
217,"remove"
217,"cum"
217,"contraception/method"
217,"lady/girl"
217,"goodnight"
217,"leg"
217,"medication"
219,"pain"
219,"period"
219,"period"
219,"immediately"
219,"discharge"
219,"fluid"
219,"stop"
219,"skin"
220,"sema"
220,"family planning"
220,"contraception/method"
221,"prep"
222,"infect"
223,"wife/husband/partner"
223,"period"
223,"red"
223,"spot"
223,"injection"
224,"effect/side effect"
224,"condom"
225,"(un)safe/days"
225,"contraception/method"
225,"unprotected sex"
225,"start"
225,"blood/bleed"
225,"pregnant"
225,"real"
225,"period"
225,"period"
225,"stress"
225,"pill"
225,"injection"
225,"injection"
225,"effect/side effect"
225,"injection"
225,"family planning"
225,"contraception/method"
225,"unmarried"
225,"lady/girl"
225,"question/answer"
225,"pregnant"
225,"test"
225,"unprotected sex"
227,"approach"
227,"lady/girl"
227,"lady/girl"
228,"sign/symptom"
228,"sign/symptom"
228,"syphilis"
230,"age"
230,"start"
230,"family planning"
230,"lady/girl"
230,"reproductive"
230,"organ"
230,"lead"
230,"hiv/aids"
232,"pregnant"
232,"femi"
232,"plan"
232,"condition"
232,"femiplan"
232,"birth"
233,"hospital"
233,"wk"
233,"IUD"
233,"safe"
233,"sex"
233,"spot"
233,"period"
233,"safe"
233,"sex"
233,"pregnant"
233,"contraception/method"
233,"norplant"
233,"gain"
233,"weight"
233,"exercise"
233,"change"
234,"implant"
234,"arm"
234,"bring"
234,"complication"
234,"feel"
234,"headache"
234,"heavy"
234,"feel"
235,"yeast"
235,"infection"
235,"lady/girl"
236,"contraception/method"
237,"choose"
237,"contraception/method"
237,"family planning"
237,"recommend"
237,"facility"
237,"family planning"
237,"service"
239,"experience"
239,"period"
239,"wife/husband/partner"
239,"love"
239,"sex"
239,"ready"
241,"sign/symptom"
241,"skin"
241,"growth"
242,"birth"
242,"sex"
242,"ago"
242,"tire"
242,"feel"
242,"feel"
242,"dick"
242,"time"
242,"yellow"
242,"sore"
242,"disappear"
242,"mother"
242,"lady/girl"
242,"en"
242,"wife/husband/partner"
242,"virgin"
242,"advice"
242,"birth"
242,"sex"
242,"sex"
242,"fall"
242,"sex"
242,"reduce"
243,"cycle"
243,"normal"
243,"injection"
243,"cycle"
243,"normal"
243,"injection"
243,"(un)safe/days"
243,"contraception/method"
243,"birth control"
243,"effective"
245,"effect/side effect"
245,"effect/side effect"
245,"drug"
245,"pregnant"
245,"pregnant"
245,"drink"
246,"burst"
246,"action"
248,"age"
248,"start"
248,"sex"
248,"question/answer"
248,"question/answer"
248,"quiz"
248,"specific"
248,"age"
248,"start"
248,"sex"
248,"female"
248,"wife/husband/partner"
248,"condom"
248,"contraception/method"
248,"learn"
248,"contraception/method"
248,"family planning"
248,"effect/side effect"
248,"family planning"
248,"contraception/method"
248,"male"
248,"learn"
248,"family"
248,"family planning"
248,"short"
248,"fear"
248,"hear"
248,"effect/side effect"
248,"nice"
248,"hear"
248,"question/answer"
248,"period"
248,"pimple"
248,"period"
248,"severe"
248,"malaria"
248,"time"
248,"question/answer"
248,"question/answer"
248,"yesterday"
248,"question/answer"
248,"question/answer"
248,"conception"
248,"contraception/method"
248,"contraception/method"
248,"vasectomy"
248,"condom"
248,"wife/husband/partner"
248,"support"
248,"question/answer"
248,"pill"
248,"wife/husband/partner"
248,"support"
248,"contraception/method"
248,"contraception/method"
248,"birth"
248,"child"
248,"true"
248,"remove"
248,"penis"
248,"sex"
248,"ejaculate"
248,"pregnant"
248,"true"
248,"sexual"
248,"wife/husband/partner"
248,"interfere"
248,"vagina"
248,"act"
248,"sex"
248,"hormone"
248,"produce"
248,"time"
248,"importance"
248,"sex"
248,"question/answer"
248,"true"
248,"remove"
248,"penis"
248,"sex"
248,"ejaculate"
248,"pregnant"
248,"true"
248,"sexual"
248,"wife/husband/partner"
248,"interfere"
248,"vagina"
248,"act"
248,"sex"
248,"hormone"
248,"produce"
248,"time"
248,"importance"
248,"sex"
248,"call"
248,"withdrawal"
248,"importance"
248,"sex"
248,"benefit"
248,"sperm"
248,"importance"
248,"sperm"
248,"sex"
248,"result"
248,"time"
248,"glad"
248,"feedback"
248,"tomorrow"
248,"importance"
248,"sperm"
248,"round"
248,"breast"
248,"breast"
248,"stress"
248,"disease"
248,"short"
248,"term"
248,"contraception/method"
248,"contraception/method"
248,"effect/side effect"
248,"learn"
248,"short"
248,"term"
248,"contraception/method"
248,"concern"
248,"contraception/method"
248,"question/answer"
248,"learn"
248,"short"
248,"term"
248,"contraception/method"
248,"contraception/method"
248,"child"
248,"hear"
248,"happen"
248,"family planning"
248,"birth"
248,"child"
248,"true"
248,"condom"
248,"safe"
248,"pregnant"
248,"learn"
248,"burst"
248,"wear"
248,"wife/husband/partner"
248,"wear"
248,"condom"
248,"burst"
248,"leave"
248,"prevent"
248,"pregnant"
248,"question/answer"
248,"choose"
248,"contraception/method"
248,"condom"
248,"condom"
248,"effect/side effect"
248,"mind"
248,"type"
248,"condom"
248,"latex"
248,"age"
248,"start"
248,"sex"
248,"contraception/method"
248,"position"
248,"form"
248,"protection"
248,"depend"
248,"type"
248,"anal"
248,"oral"
248,"sex"
248,"oral"
248,"sex"
248,"sperm"
248,"stomach"
248,"bad"
248,"importance"
248,"learn"
248,"tubal"
248,"plan"
248,"child"
248,"future"
248,"apply"
248,"vasectomy"
248,"explain"
248,"lady/girl"
248,"period"
248,"mood"
248,"feel"
248,"malaria"
248,"pimple"
248,"contraception/method"
248,"vasectomy"
248,"tubal"
248,"male"
248,"female"
248,"organ"
248,"process"
248,"body"
248,"type"
248,"food"
248,"eat"
248,"sperm"
248,"vasectomy"
248,"wait"
248,"alright"
248,"libido"
248,"process"
248,"prep"
248,"pep"
248,"instance"
248,"rape"
248,"drug"
248,"rape"
248,"prep"
248,"prevent"
248,"pregnant"
248,"time"
248,"affect"
248,"HIV/AIDS"
248,"medicine"
248,"understand"
248,"feel"
248,"start"
248,"period"
248,"age"
248,"form"
248,"date"
248,"date"
248,"flow"
248,"change"
248,"date"
248,"period"
248,"bad"
248,"regular"
248,"period"
248,"irregular"
248,"feel"
248,"sex"
248,"suppose"
248,"flow"
248,"maintain"
248,"male"
248,"condom"
248,"anytime"
248,"sex"
248,"wife/husband/partner"
248,"wrong"
248,"period"
248,"date"
248,"change"
248,"contraception/method"
248,"condom"
248,"period"
248,"normal"
248,"period"
248,"type"
248,"food"
248,"eat"
248,"period"
248,"food"
248,"prevent"
251,"explain"
251,"condom"
252,"occur"
252,"time"
252,"sperm"
252,"smell"
252,"question/answer"
252,"response"
252,"lady/girl"
252,"carry"
252,"masturbation"
252,"question/answer"
252,"marriage"
252,"eat"
252,"home"
252,"masturbation"
252,"healthy"
252,"shave"
252,"private"
252,"question/answer"
253,"abortion"
253,"scare"
253,"call"
254,"effect/side effect"
254,"contraception/method"
255,"contraception/method"
255,"contraception/method"
256,"pill"
256,"monday"
256,"regularly"
256,"backache"
256,"feel"
256,"pregnant"
256,"late"
256,"period"
256,"text"
258,"goodnight"
260,"pill"
260,"weight"
261,"contraception/method"
261,"condom"
261,"medicine"
261,"abstain"
261,"sex"
261,"protection"
261,"safe"
262,"effect/side effect"
262,"pill"
264,"effect/side effect"
264,"breast"
264,"reply"
264,"information"
264,"god"
264,"bless"
264,"effect/side effect"
264,"condom"
264,"lady/girl"
264,"feel"
264,"pain"
264,"sex"
264,"time"
264,"sighns"
264,"sex"
264,"time"
264,"boy"
264,"friend"
264,"condom"
264,"sex"
264,"pregnant"
266,"family planning"
266,"implant"
266,"past"
266,"issue"
266,"blood/bleed"
266,"control"
266,"blood/bleed"
266,"normal"
266,"cycle"
266,"implant"
266,"loose"
266,"weight"
266,"injection"
266,"body"
266,"size"
266,"discharge"
266,"experience"
266,"itchy"
266,"time"
266,"birth"
266,"ago"
266,"child"
266,"breast"
266,"fee"
266,"loose"
266,"change"
266,"situation"
266,"question/answer"
266,"contraception/method"
266,"contraception/method"
266,"mine"
266,"nice"
266,"pregnant"
266,"rid"
266,"implant"
266,"blood/bleed"
266,"facility"
266,"cycle"
266,"pill"
266,"continue"
266,"blood/bleed"
266,"period"
266,"normal"
266,"virginia"
266,"loose"
266,"birth"
268,"period"
268,"fertility/infertility"
271,"sexual health"
271,"sex"
271,"feel"
271,"pain"
271,"pain"
271,"protective"
271,"pregnant"
271,"sex"
271,"condom"
271,"release"
271,"side"
271,"virginia"
271,"reason"
271,"satisfy"
271,"sex"
271,"pregnant"
271,"contraception/method"
271,"dangerous"
271,"shave"
271,"private"
271,"infection"
271,"shave"
271,"private"
271,"sex"
271,"period"
271,"pregnant"
272,"sign/symptom"
272,"breast"
272,"cancer"
276,"pregnant"
276,"pregnant"
276,"pregnant"
277,"issue"
278,"sex"
278,"question/answer"
278,"question/answer"
278,"penis"
278,"feel"
278,"sex"
278,"penis"
278,"question/answer"
278,"penis"
278,"enjoy"
278,"sex"
278,"question/answer"
278,"question/answer"
278,"time"
278,"sex"
278,"lady/girl"
278,"conceive"
278,"pregnant"
278,"lady/girl"
278,"question/answer"
278,"tomorrow"
278,"question/answer"
279,"protection"
279,"wife/husband/partner"
279,"family"
279,"family planning"
283,"happen"
283,"suffer"
283,"gonorrhea"
283,"sign/symptom"
283,"question/answer"
283,"question/answer"
283,"sign/symptom"
283,"sign/symptom"
283,"gonorrhea"
285,"niko"
285,"shida"
285,"vagina"
285,"hv"
285,"child"
289,"sign/symptom"
289,"breast"
289,"cancer"
289,"itch"
289,"private"
289,"sti's"
289,"stay"
289,"sex"
289,"disease"
290,"age"
290,"sex"
290,"unprotected sex"
290,"period"
290,"safe"
294,"family planning"
295,"prostate"
295,"cancer"
295,"sex"
295,"wife/husband/partner"
295,"infect"
297,"sexual"
297,"infect"
297,"infection"
298,"contraception/method"
298,"family planning"
300,"deep"
300,"kiss"
300,"HIV/AIDS"
300,"positive"
300,"person"
300,"contract"
300,"virus"
300,"fuck"
300,"female"
300,"wife/husband/partner"
300,"HIV/AIDS"
300,"positive"
300,"infect"
300,"question/answer"
302,"vagina"
302,"sex"
302,"normal"
303,"viginal"
303,"infection"
303,"treat"
303,"question/answer"
303,"explain"
303,"sign/symptom"
303,"infection"
305,"type"
305,"food"
305,"eat"
305,"pregnant"
306,"family"
306,"blood/bleed"
306,"bring"
306,"headache"
306,"uterus"
306,"family"
306,"backache"
306,"miscarriage"
306,"abnormal"
306,"child"
311,"lose"
311,"virginity"
311,"virgin"
311,"sex"
311,"blood/bleed"
311,"gain"
311,"tel"
311,"physical"
311,"change"
312,"prefer"
312,"lady/girl"
312,"pregnant"
312,"sex"
312,"period"
312,"single"
312,"abortion"
312,"lady/girl"
312,"pregnant"
312,"single"
312,"abortion"
312,"lady/girl"
312,"barren"
313,"implant"
313,"leave"
313,"arm"
313,"remove"
314,"family planning"
314,"contraception/method"
314,"result"
314,"pregnant"
317,"sign/symptom"
317,"sign/symptom"
317,"syphilis"
318,"suffer"
318,"breast"
318,"cancer"
319,"sex"
319,"pain"
319,"normal"
319,"lady/girl"
319,"period"
319,"period"
320,"period"
321,"effect/side effect"
321,"pill"
324,"contraception/method"
324,"contraception/method"
324,"emergency pills"
324,"period"
324,"cycle"
324,"spot"
324,"harmful"
324,"reproductive health"
324,"family planning"
324,"option"
324,"student"
324,"contraception/method"
324,"increase"
324,"sex"
324,"interfere"
324,"reproductive health"
324,"drug"
324,"question/answer"
324,"normal"
324,"lose"
324,"sexual"
324,"question/answer"
324,"question/answer"
324,"question/answer"
324,"sexual"
324,"pleasure"
324,"sex"
325,"fertility/infertility"
326,"sign/symptom"
326,"sign/symptom"
326,"gonorrhea"
326,"pregnant"
326,"sex"
326,"immediately"
326,"period"
327,"family planning"
328,"period"
328,"period"
328,"family planning"
328,"normal"
328,"vaginal"
328,"discharge"
328,"everyday"
329,"inplant"
329,"main"
329,"period"
329,"normal"
330,"sign/symptom"
330,"gonorrhea"
331,"sex"
331,"person"
331,"infect"
332,"calculate"
332,"(un)safe/days"
332,"calculate"
332,"(un)safe/days"
335,"type"
335,"contraception/method"
335,"effect/side effect"
335,"contraception/method"
335,"effect/side effect"
335,"female condoms"
336,"contraception/method"
336,"family planning"
337,"causative"
337,"agent"
337,"prostate"
337,"cancer"
337,"HIV/AIDS"
337,"blood/bleed"
337,"sex"
337,"infect"
337,"person"
338,"cervical"
338,"cancer"
346,"question/answer"
347,"love"
347,"wife/husband/partner"
347,"love"
347,"wife/husband/partner"
347,"lady/girl"
347,"feel"
347,"sex"
347,"touch"
347,"private"
347,"lady/girl"
347,"pregnant"
347,"period"
348,"contraception/method"
348,"effect/side effect"
348,"positive"
348,"negative"
350,"pregnant"
352,"manage"
352,"relationship"
353,"effect/side effect"
353,"family planning"
354,"cervical"
354,"cancer"
355,"sign/symptom"
356,"sexual health"
356,"feel"
356,"stomach"
356,"hv"
356,"condom"
356,"life"
356,"alady"
356,"hv"
356,"alady"
356,"sweat"
356,"cold"
356,"family planning"
356,"wife/husband/partner"
356,"mood"
356,"family planning"
356,"disadvantage"
356,"abortion"
358,"wife/husband/partner"
358,"depo"
358,"period"
358,"stop"
358,"stop"
359,"chancroid"
361,"hiv/aids"
362,"effective"
362,"contraception/method"
362,"male"
363,"disadvantage"
363,"condom"
366,"true"
366,"family planning"
366,"cancer"
371,"contraception/method"
371,"contraception/method"
372,"natural"
372,"family planning"
372,"contraception/method"
373,"contraception/method"
373,"effect/side effect"
373,"family planning"
373,"type"
373,"previous"
373,"effect/side effect"
373,"implant"
373,"female"
373,"period"
373,"cycle"
373,"family planning"
373,"contraception/method"
375,"masturbation"
375,"cancer"
375,"prostate"
375,"cancer"
375,"family planning"
377,"dangerous"
377,"abortion"
377,"wk"
377,"baby"
380,"low"
380,"sperm"
380,"count"
381,"family planning"
382,"sex"
382,"pregnant"
382,"time"
384,"contraception/method"
385,"pregnant"
385,"remove"
385,"sperm"
385,"happen"
385,"inject"
385,"release"
385,"sperm"
385,"sign/symptom"
385,"pregnant"
385,"effect/side effect"
385,"position"
385,"contraception/method"
385,"contraception/method"
385,"contraception/method"
386,"kwa"
386,"question/answer"
390,"contraception/method"
390,"pill"
390,"pregnant"
391,"(un)safe/days"
393,"sign/symptom"
393,"syphilis"
393,"sign/symptom"
