class,gender,age
"provider, locate",woman,25
"pregnancy, days, when safe",woman,NA
"contraception, method recommendation",woman,34
contraception,woman,NA
"sexual health, having sex",woman,NA
"contraception, method recommendation",woman,18
"contraception, side effects",woman,22
pregnancy,woman,21
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,25
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,20
contraception,woman,NA
contraception,woman,NA
"women's health, menstruation",woman,NA
"pregnancy, signs of",man,NA
"contraception, method recommendation",woman,32
something else,woman,NA
symptoms,woman,20
contraception,woman,24
"contraception, cost",woman,23
"contraception, side effects",woman,25
"contraception, method recommendation",woman,NA
"contraception, method recommendation",woman,30
"sexual health, STI",woman,22
"sexual health, STI",woman,22
"pregnancy, days, when safe",woman,25
"contraception, method recommendation",woman,21
contraception,woman,19
contraception,woman,45
"contraception, method recommendation",woman,24
contraception,woman,20
"pregnancy, miscarriage",woman,22
"contraception, method recommendation",woman,23
"pregnancy, signs of",woman,21
"contraception, side effects",woman,21
pregnancy,woman,21
"contraception, side effects",woman,NA
"symptoms, discharge",woman,NA
"symptoms, discharge",woman,21
symptoms,woman,22
"sexual health, relationships",woman,18
"contraception, locate",woman,NA
something else,woman,22
"provider, locate",woman,45
pregnancy,woman,22
contraception,woman,22
contraception,woman,45
"contraception, method recommendation",man,NA
contraception,woman,18
"contraception, method recommendation",woman,45
"contraception, side effects",woman,22
"contraception, method recommendation",woman,25
"contraception, method recommendation",woman,21
"sexual health, having sex",woman,21
abortion,woman,18
contraception,woman,45
"contraception, side effects",woman,29
contraception,woman,21
contraception,woman,26
"contraception, side effects",woman,NA
pregnancy,woman,21
"women's health, menstruation",man,NA
pregnancy,woman,20
pregnancy,woman,20
contraception,woman,20
"contraception, method recommendation",woman,20
"contraception, method recommendation",woman,22
pregnancy,woman,20
contraception,man,NA
"contraception, locate",woman,22
"contraception, side effects",woman,31
"contraception, side effects",woman,20
"contraception, side effects",woman,21
contraception,woman,20
"sexual health, masturbation",man,NA
"contraception, locate",woman,NA
"contraception, side effects",woman,NA
"pregnancy, days, when safe",woman,20
"contraception, method recommendation",woman,20
contraception,woman,22
"contraception, method recommendation",woman,20
"pregnancy, days, when fertile",woman,NA
"contraception, locate",woman,22
"contraception, method recommendation",woman,NA
contraception,woman,23
"contraception, method recommendation",woman,23
"contraception, side effects",woman,23
contraception,woman,20
"sexual health, relationships",woman,23
"women's health, menstruation",woman,34
"contraception, side effects",woman,26
"contraception, side effects",woman,NA
"pregnancy, days, when fertile",woman,NA
pregnancy,woman,28
"contraception, method recommendation",woman,25
"contraception, cost",woman,NA
"contraception, side effects",woman,24
"contraception, method recommendation",woman,30
"contraception, method recommendation",woman,28
"contraception, method recommendation",woman,19
contraception,woman,22
something else,woman,34
"contraception, locate",woman,20
"women's health, menstruation",woman,25
symptoms,man,23
"contraception, method recommendation",woman,25
"pregnancy, days, when fertile",woman,NA
"contraception, method recommendation",woman,22
"contraception, side effects",woman,24
contraception,woman,24
"contraception, method recommendation",woman,23
"sexual health, STI",woman,29
"contraception, method recommendation",woman,18
"contraception, side effects",woman,NA
pregnancy,woman,19
"contraception, side effects",woman,22
"contraception, effectiveness",woman,NA
"contraception, side effects",woman,18
"contraception, side effects",woman,20
"contraception, side effects",woman,NA
"pregnancy, days, when fertile",man,NA
"contraception, method recommendation",woman,NA
"contraception, method recommendation",woman,24
"contraception, side effects",woman,NA
"contraception, side effects",man,NA
"contraception, method recommendation",woman,NA
"contraception, method recommendation",woman,NA
contraception,woman,18
"contraception, method recommendation",woman,NA
"pregnancy, days, when fertile",woman,26
"contraception, side effects",woman,NA
contraception,man,NA
something else,woman,18
"women's health, cervical cancer",woman,NA
"contraception, method recommendation",woman,NA
contraception,woman,NA
contraception,woman,22
"contraception, side effects",woman,NA
"pregnancy, days, when fertile",woman,25
contraception,man,30
"sexual health, sexuality",man,24
"symptoms, discharge",woman,21
contraception,woman,23
"contraception, effectiveness",woman,18
"contraception, method recommendation",woman,NA
"contraception, method recommendation",man,20
"contraception, method recommendation",woman,NA
pregnancy,woman,21
"contraception, side effects",woman,30
"contraception, side effects",woman,26
"contraception, side effects",woman,20
"contraception, locate",woman,20
"contraception, method recommendation",woman,25
"sexual health, masturbation",man,23
"symptoms, discharge",woman,22
"sexual health, having sex",woman,19
"contraception, side effects",woman,NA
"pregnancy, days, when fertile",woman,22
"contraception, method recommendation",woman,NA
contraception,woman,26
pregnancy,man,NA
"contraception, method recommendation",woman,NA
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,NA
"sexual health, relationships",man,NA
pregnancy,woman,21
"contraception, side effects",woman,23
"contraception, method recommendation",woman,29
"contraception, side effects",man,NA
"sexual health, having sex",woman,NA
pregnancy,woman,NA
"contraception, side effects",woman,NA
"contraception, side effects",woman,22
"contraception, method recommendation",woman,NA
"women's health, menstruation",woman,NA
"women's health, menstruation",woman,20
"contraception, side effects",woman,23
"contraception, side effects",man,NA
"symptoms, discharge",woman,20
"men's health, penis size",woman,25
"contraception, side effects",woman,NA
"contraception, cost",woman,22
"contraception, side effects",woman,22
contraception,woman,20
sexual health,woman,NA
"contraception, side effects",woman,34
something else,woman,20
symptoms,man,23
symptoms,woman,20
"pregnancy, days, when fertile",woman,20
contraception,woman,20
"symptoms, discharge",woman,NA
contraception,man,28
"sexual health, masturbation",man,28
contraception,woman,NA
contraception,woman,NA
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,NA
abortion,woman,NA
contraception,woman,NA
symptoms,woman,NA
"sexual health, having sex",man,24
contraception,woman,NA
"contraception, side effects",woman,NA
"sexual health, having sex",man,24
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,24
"pregnancy, days, when fertile",man,26
"pregnancy, days, when fertile",woman,NA
"pregnancy, days, when safe",woman,22
"sexual health, having sex",woman,20
pregnancy,woman,25
"pregnancy, days, when fertile",woman,24
"contraception, side effects",woman,21
contraception,woman,22
"contraception, side effects",woman,22
pregnancy,woman,25
"contraception, side effects",woman,28
"contraception, side effects",woman,29
contraception,woman,22
"contraception, method recommendation",woman,26
"contraception, side effects",woman,29
"contraception, method recommendation",woman,23
"contraception, method recommendation",woman,26
"contraception, method recommendation",man,29
contraception,man,35
contraception,woman,28
"contraception, side effects",woman,27
"contraception, side effects",woman,26
contraception,woman,39
contraception,man,25
"contraception, method recommendation",woman,28
"men's health, prostate",man,26
"contraception, method recommendation",woman,30
symptoms,woman,29
"men's health, prostate",man,28
contraception,man,38
sexual health,woman,20
"contraception, side effects",man,24
contraception,man,25
"symptoms, discharge",man,29
"contraception, side effects",woman,22
"sexual health, having sex",man,26
"contraception, side effects",woman,27
abortion,woman,22
"contraception, side effects",man,20
"contraception, side effects",woman,22
"contraception, side effects",man,36
"contraception, method recommendation",woman,22
"contraception, method recommendation",man,21
"contraception, locate",woman,29
"women's health, menstruation",man,20
"sexual health, masturbation",man,20
"contraception, side effects",woman,28
sexual health,woman,21
sexual health,man,26
"contraception, side effects",man,27
sexual health,man,22
contraception,woman,22
"sexual health, having sex",woman,24
"contraception, method recommendation",woman,19
"men's health, penis size",man,20
"contraception, side effects",woman,22
contraception,woman,21
UTI,woman,21
"contraception, method recommendation",woman,21
contraception,man,22
abortion,man,20
"contraception, side effects",man,20
"contraception, side effects",woman,25
pregnancy,woman,21
"contraception, side effects",woman,40
UTI,man,20
"contraception, method recommendation",woman,19
"symptoms, discharge",woman,20
contraception,man,21
"contraception, side effects",man,27
"contraception, method recommendation",woman,22
contraception,woman,24
contraception,man,23
"contraception, side effects",woman,21
symptoms,man,23
contraception,man,23
"contraception, side effects",woman,22
"pregnancy, days, when safe",man,22
"contraception, side effects",woman,36
"men's health, penis size",woman,21
mental health,woman,22
sexual health,woman,21
"women's health, cervical cancer",woman,40
"contraception, side effects",woman,21
"contraception, side effects",woman,22
"women's health, cervical cancer",woman,27
"women's health, cervical cancer",woman,39
"men's health, prostate",man,45
"contraception, method recommendation",woman,19
"contraception, side effects",man,40
"contraception, side effects",woman,30
pregnancy,woman,35
"contraception, method recommendation",woman,28
"contraception, effectiveness",woman,19
"sexual health, STI",woman,22
"contraception, method recommendation",woman,20
contraception,woman,22
contraception,woman,20
"sexual health, relationships",man,21
"contraception, method recommendation",man,23
contraception,man,21
"pregnancy, days, when fertile",woman,22
"sexual health, having sex",woman,23
contraception,woman,23
"pregnancy, days, when fertile",woman,20
something else,woman,23
"sexual health, relationships",woman,26
"sexual health, STI",man,20
"contraception, side effects",woman,35
"contraception, side effects",woman,19
"pregnancy, days, when fertile",woman,21
"pregnancy, days, when fertile",woman,21
"sexual health, relationships",woman,26
contraception,woman,21
contraception,woman,23
symptoms,woman,23
contraception,woman,28
sexual health,woman,18
"contraception, side effects",woman,24
"contraception, method recommendation",woman,19
"contraception, side effects",woman,25
"sexual health, having sex",man,19
contraception,man,23
"contraception, method recommendation",woman,20
contraception,woman,28
"contraception, side effects",man,30
"sexual health, having sex",man,22
"men's health, prostate",man,28
contraception,woman,20
"contraception, side effects",woman,19
"contraception, method recommendation",woman,32
"sexual health, relationships",man,21
"contraception, side effects",woman,21
"contraception, side effects",woman,22
"contraception, side effects",woman,34
contraception,woman,19
"contraception, side effects",woman,24
"pregnancy, causes",woman,21
"sexual health, relationships",man,24
symptoms,man,21
contraception,man,24
"men's health, penis size",man,24
"sexual health, relationships",man,21
"pregnancy, days, when fertile",woman,24
"contraception, side effects",woman,20
"men's health, penis size",man,22
contraception,woman,20
"women's health, menstruation",woman,19
"contraception, method recommendation",woman,20
"symptoms, discharge",woman,24
"contraception, side effects",man,22
contraception,man,20
contraception,man,22
"sexual health, having sex",woman,22
contraception,man,25
contraception,woman,19
contraception,woman,24
contraception,woman,20
"pregnancy, days, when fertile",man,19
contraception,man,20
contraception,woman,24
"men's health, prostate",man,26
contraception,man,19
contraception,woman,24
"contraception, method recommendation",man,21
"contraception, method recommendation",woman,22
contraception,man,20
symptoms,woman,17
"contraception, method recommendation",woman,24
"contraception, side effects",man,22
pregnancy,woman,21
"sexual health, STI",man,24
"contraception, side effects",woman,21
"sexual health, STI",man,30
contraception,woman,19
"sexual health, STI",woman,22
"sexual health, having sex",man,24
"contraception, side effects",man,22
"women's health, menstruation",woman,27
"contraception, effectiveness",woman,23
contraception,woman,23
"contraception, side effects",woman,23
"contraception, method recommendation",woman,32
"pregnancy, days, when fertile",woman,21
contraception,woman,21
contraception,woman,21
"contraception, method recommendation",woman,20
"contraception, side effects",woman,25
pregnancy,woman,24
"sexual health, relationships",woman,20
contraception,man,24
"pregnancy, days, when fertile",man,20
"sexual health, relationships",man,19
"pregnancy, days, when fertile",woman,23
"contraception, method recommendation",man,24
contraception,man,22
contraception,woman,23
"contraception, cost",woman,22
"sexual health, having sex",woman,19
"sexual health, masturbation",man,22
"pregnancy, days, when fertile",man,18
contraception,man,24
"contraception, method recommendation",woman,25
"sexual health, having sex",man,20
"sexual health, having sex",woman,30
contraception,woman,20
contraception,man,30
"pregnancy, causes",woman,20
"contraception, side effects",woman,24
"contraception, side effects",woman,25
"contraception, side effects",woman,37
abortion,woman,23
"contraception, side effects",man,26
"men's health, prostate",man,26
"contraception, side effects",man,25
contraception,woman,21
"contraception, side effects",woman,27
"contraception, side effects",woman,26
"men's health, prostate",man,27
symptoms,woman,24
"contraception, side effects",man,28
"contraception, method recommendation",woman,27
"contraception, method recommendation",woman,26
"contraception, side effects",woman,23
symptoms,woman,36
symptoms,woman,38
"men's health, prostate",man,26
"contraception, side effects",woman,26
"men's health, prostate",man,27
"contraception, side effects",woman,20
"symptoms, discharge",woman,23
contraception,woman,21
contraception,woman,21
contraception,man,25
"contraception, method recommendation",man,22
"contraception, method recommendation",woman,23
"contraception, method recommendation",woman,23
"sexual health, having sex",woman,22
contraception,woman,35
"contraception, method recommendation",man,22
"contraception, side effects",woman,29
sexual health,man,23
contraception,woman,21
"contraception, effectiveness",man,21
contraception,woman,20
"contraception, cost",woman,19
something else,man,23
"contraception, side effects",woman,29
"contraception, method recommendation",woman,28
"contraception, side effects",woman,20
symptoms,woman,28
"women's health, menstruation",man,25
"symptoms, discharge",woman,49
"contraception, method recommendation",woman,20
"sexual health, STI",woman,20
"contraception, side effects",woman,19
contraception,woman,21
contraception,woman,28
"contraception, effectiveness",man,34
symptoms,woman,24
contraception,woman,25
"sexual health, STI",woman,16
pregnancy,woman,21
contraception,man,38
"women's health, menstruation",woman,40
sexual health,man,21
symptoms,woman,24
"contraception, side effects",man,23
"sexual health, having sex",woman,23
symptoms,woman,44
abortion,woman,20
"men's health, prostate",man,28
contraception,man,34
abortion,man,NA
sexual health,woman,30
contraception,woman,36
"sexual health, having sex",woman,28
contraception,man,23
"contraception, method recommendation",woman,20
contraception,man,34
"contraception, method recommendation",woman,21
contraception,woman,20
"sexual health, masturbation",man,19
"contraception, side effects",man,19
"pregnancy, days, when safe",man,19
contraception,woman,22
sexual health,woman,20
sexual health,woman,20
"contraception, side effects",man,21
"contraception, method recommendation",woman,30
"symptoms, discharge",woman,19
contraception,woman,24
"men's health, prostate",man,34
"contraception, method recommendation",woman,19
"men's health, prostate",man,36
"contraception, method recommendation",woman,20
"contraception, method recommendation",man,29
contraception,woman,28
pregnancy,woman,42
"contraception, method recommendation",woman,20
"pregnancy, days, when fertile",man,24
"women's health, cervical cancer",woman,26
"contraception, method recommendation",woman,32
"women's health, menstruation",man,27
contraception,man,30
contraception,woman,22
"contraception, method recommendation",man,NA
"contraception, side effects",woman,47
"contraception, method recommendation",woman,25
"contraception, side effects",woman,25
"pregnancy, miscarriage",man,26
"contraception, side effects",man,27
contraception,woman,17
contraception,man,29
pregnancy,man,23
"contraception, side effects",woman,30
symptoms,man,24
"contraception, side effects",woman,30
pregnancy,woman,30
symptoms,man,33
"contraception, method recommendation",woman,27
"sexual health, having sex",man,34
"contraception, method recommendation",man,24
contraception,woman,20
contraception,woman,25
"men's health, prostate",man,28
"contraception, side effects",man,27
"men's health, prostate",man,21
"contraception, method recommendation",woman,21
"women's health, menstruation",man,21
"contraception, side effects",woman,26
contraception,man,34
contraception,woman,20
"contraception, side effects",woman,28
"contraception, side effects",man,28
"contraception, side effects",man,20
contraception,woman,28
"contraception, side effects",man,35
contraception,woman,29
"contraception, method recommendation",woman,23
contraception,woman,23
contraception,woman,21
"contraception, side effects",woman,20
contraception,woman,21
"men's health, prostate",man,26
"contraception, side effects",woman,17
"contraception, method recommendation",woman,22
contraception,woman,24
"contraception, side effects",man,33
symptoms,woman,29
contraception,woman,35
"contraception, side effects",woman,21
"men's health, prostate",man,35
"men's health, prostate",man,28
"contraception, method recommendation",woman,22
contraception,man,22
"contraception, side effects",man,42
something else,man,24
contraception,woman,22
"sexual health, having sex",man,20
"sexual health, STI",man,20
"contraception, side effects",woman,34
"contraception, stopping",woman,34
contraception,man,25
contraception,woman,19
contraception,man,21
contraception,man,35
sexual health,woman,20
"contraception, method recommendation",man,26
"sexual health, masturbation",man,22
"contraception, method recommendation",woman,21
symptoms,man,29
contraception,man,26
"contraception, side effects",man,21
"contraception, locate",woman,21
"sexual health, relationships",man,29
"contraception, method recommendation",woman,30
symptoms,woman,27
"contraception, side effects",woman,26
contraception,man,30
contraception,man,22
contraception,woman,29
"contraception, side effects",woman,23
"sexual health, relationships",man,24
"contraception, effectiveness",woman,NA
"contraception, side effects",woman,18
"contraception, side effects",man,22
"men's health, prostate",man,28
symptoms,woman,22
"contraception, side effects",man,29
contraception,man,21
contraception,man,33
"contraception, method recommendation",woman,23
"contraception, side effects",woman,25
contraception,man,35
"sexual health, STI",man,23
"contraception, side effects",woman,22
"men's health, prostate",man,30
sexual health,man,32
"contraception, method recommendation",woman,28
"pregnancy, causes",woman,23
symptoms,woman,23
"contraception, method recommendation",man,24
"contraception, method recommendation",woman,22
"contraception, side effects",woman,26
"contraception, method recommendation",man,25
"contraception, side effects",woman,27
"contraception, side effects",man,22
"contraception, side effects",woman,30
"women's health, menstruation",woman,19
symptoms,woman,32
contraception,woman,22
"men's health, prostate",man,26
"contraception, side effects",man,24
contraception,man,32
symptoms,man,27
contraception,man,22
"contraception, side effects",woman,24
symptoms,woman,44
contraception,man,25
"contraception, method recommendation",woman,20
"contraception, method recommendation",woman,25
contraception,woman,21
contraception,woman,21
"contraception, side effects",woman,20
"contraception, side effects",woman,30
"women's health, menstruation",woman,19
contraception,woman,19
contraception,man,25
"contraception, method recommendation",woman,28
contraception,woman,37
something else,man,20
symptoms,woman,19
symptoms,woman,20
"contraception, side effects",woman,23
"contraception, method recommendation",woman,21
pregnancy,man,22
"contraception, method recommendation",woman,21
contraception,man,23
sexual health,man,19
"sexual health, STI",man,19
contraception,woman,20
"pregnancy, causes",woman,20
contraception,man,30
contraception,man,23
contraception,man,24
"contraception, side effects",woman,23
"pregnancy, days, when fertile",woman,18
"pregnancy, days, when fertile",man,22
"contraception, method recommendation",woman,19
"women's health, menstruation",man,26
symptoms,woman,17
"sexual health, having sex",man,23
"contraception, side effects",woman,19
"contraception, side effects",woman,21
"contraception, side effects",woman,30
"sexual health, having sex",man,21
"contraception, method recommendation",woman,20
"contraception, side effects",woman,30
sexual health,man,24
"contraception, method recommendation",woman,23
contraception,woman,23
contraception,woman,22
contraception,woman,20
"sexual health, STI",man,19
symptoms,woman,35
pregnancy,woman,25
contraception,woman,20
"contraception, method recommendation",woman,34
contraception,woman,28
"contraception, side effects",woman,28
something else,woman,22
sexual health,woman,22
contraception,man,25
"sexual health, having sex",man,20
"contraception, method recommendation",woman,21
pregnancy,woman,25
"sexual health, relationships",man,20
contraception,woman,22
"sexual health, relationships",woman,27
contraception,woman,28
"sexual health, STI",man,25
"symptoms, discharge",woman,20
"contraception, method recommendation",woman,29
symptoms,woman,28
"contraception, side effects",woman,22
UTI,woman,35
"men's health, prostate",man,26
"sexual health, STI",man,18
"men's health, prostate",man,30
symptoms,woman,25
"contraception, side effects",woman,21
"contraception, side effects",woman,28
"contraception, side effects",woman,32
contraception,woman,19
"contraception, method recommendation",woman,22
"pregnancy, days, when fertile",woman,24
symptoms,man,24
"contraception, side effects",woman,22
sexual health,man,21
"symptoms, discharge",woman,21
"contraception, side effects",woman,22
"contraception, side effects",woman,22
"contraception, cost",woman,21
"sexual health, STI",woman,34
"contraception, method recommendation",woman,18
"women's health, menstruation",woman,21
pregnancy,woman,23
"contraception, side effects",man,21
contraception,woman,21
"women's health, menstruation",woman,23
contraception,man,21
symptoms,woman,28
contraception,man,18
pregnancy,man,23
pregnancy,woman,21
contraception,woman,23
"contraception, side effects",woman,21
symptoms,woman,19
"women's health, menstruation",woman,20
"contraception, side effects",man,35
something else,woman,35
"sexual health, STI",man,24
"contraception, method recommendation",woman,20
"contraception, side effects",woman,21
"men's health, prostate",man,25
"men's health, prostate",man,25
contraception,woman,26
symptoms,man,27
"contraception, method recommendation",man,24
"men's health, prostate",man,22
"women's health, fibroids",man,30
"contraception, side effects",woman,30
symptoms,woman,25
contraception,woman,19
symptoms,woman,19
"sexual health, relationships",man,19
"sexual health, having sex",man,18
"sexual health, relationships",man,21
contraception,woman,25
"women's health, cervical cancer",woman,18
contraception,woman,20
"contraception, method recommendation",man,19
contraception,woman,19
"sexual health, having sex",woman,20
contraception,woman,22
symptoms,man,18
"contraception, method recommendation",woman,22
"contraception, side effects",woman,23
"pregnancy, days, when fertile",woman,21
"sexual health, sexuality",woman,23
contraception,man,19
"contraception, side effects",woman,20
"contraception, method recommendation",woman,21
"contraception, side effects",woman,26
contraception,woman,31
"contraception, side effects",woman,29
"pregnancy, days, when fertile",man,19
contraception,woman,20
"contraception, side effects",woman,24
contraception,woman,20
"women's health, menstruation",woman,32
"sexual health, masturbation",man,20
symptoms,man,28
something else,woman,30
"contraception, side effects",woman,25
"contraception, method recommendation",woman,34
"pregnancy, days, when fertile",woman,31
contraception,woman,19
"contraception, effectiveness",woman,33
contraception,woman,19
pregnancy,woman,28
"contraception, method recommendation",woman,23
"women's health, menstruation",woman,23
pregnancy,woman,20
something else,woman,31
pregnancy,woman,21
contraception,woman,30
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,28
"sexual health, relationships",woman,20
contraception,man,30
"sexual health, having sex",man,22
contraception,woman,26
"sexual health, relationships",man,20
"contraception, method recommendation",woman,23
contraception,woman,23
contraception,woman,24
contraception,woman,22
"contraception, method recommendation",woman,26
"contraception, side effects",woman,17
"contraception, effectiveness",woman,32
"contraception, method recommendation",woman,22
"pregnancy, causes",woman,23
contraception,woman,32
"contraception, method recommendation",woman,21
"contraception, side effects",woman,20
"contraception, method recommendation",woman,21
sexual health,man,22
contraception,woman,21
"contraception, side effects",woman,25
contraception,man,23
contraception,woman,23
"contraception, cost",woman,19
contraception,man,25
"contraception, side effects",woman,19
something else,woman,44
"contraception, method recommendation",woman,22
contraception,man,21
symptoms,woman,44
contraception,woman,33
"pregnancy, causes",woman,32
contraception,woman,19
"contraception, method recommendation",woman,21
"contraception, method recommendation",woman,27
contraception,man,42
pregnancy,woman,20
contraception,woman,20
contraception,woman,22
"contraception, method recommendation",woman,22
"sexual health, having sex",man,21
contraception,woman,21
pregnancy,woman,21
sexual health,man,30
pregnancy,woman,20
"pregnancy, days, when fertile",woman,22
"contraception, side effects",woman,28
"contraception, side effects",woman,30
contraception,man,28
"contraception, side effects",man,28
"men's health, prostate",man,27
symptoms,woman,28
symptoms,woman,25
"contraception, method recommendation",woman,24
"contraception, side effects",man,20
contraception,woman,19
"contraception, side effects",woman,16
"contraception, method recommendation",woman,26
"contraception, side effects",woman,16
"contraception, side effects",man,28
"sexual health, having sex",woman,20
"pregnancy, miscarriage",woman,20
contraception,man,22
"pregnancy, miscarriage",woman,33
contraception,woman,21
something else,man,15
symptoms,woman,33
contraception,woman,17
"contraception, side effects",woman,26
pregnancy,woman,24
"contraception, method recommendation",woman,21
"women's health, fibroids",woman,21
"pregnancy, days, when fertile",woman,18
"contraception, effectiveness",woman,26
"contraception, method recommendation",man,26
pregnancy,woman,20
"contraception, side effects",woman,19
pregnancy,woman,26
"contraception, side effects",man,18
"contraception, side effects",woman,24
"sexual health, STI",woman,20
pregnancy,woman,24
sexual health,man,22
"contraception, method recommendation",woman,24
pregnancy,woman,22
sexual health,woman,20
"contraception, method recommendation",man,19
contraception,woman,29
"pregnancy, days, when safe",woman,18
"contraception, side effects",woman,21
"contraception, side effects",woman,21
"sexual health, relationships",man,18
contraception,woman,20
"pregnancy, causes",man,21
contraception,woman,18
"sexual health, having sex",man,22
"contraception, side effects",woman,34
"contraception, side effects",woman,32
something else,man,24
contraception,woman,29
"sexual health, having sex",man,19
"sexual health, STI",man,21
"sexual health, STI",man,19
UTI,man,31
"contraception, method recommendation",woman,27
"women's health, menstruation",woman,20
"women's health, menstruation",man,18
"sexual health, sexuality",man,19
sexual health,man,15
"pregnancy, days, when fertile",woman,20
"contraception, side effects",woman,23
"contraception, side effects",woman,17
contraception,man,32
"pregnancy, days, when fertile",woman,23
sexual health,man,18
symptoms,man,23
symptoms,woman,44
contraception,man,18
"contraception, side effects",woman,20
"contraception, method recommendation",man,20
symptoms,man,21
"contraception, side effects",man,21
contraception,woman,16
"contraception, side effects",woman,22
"contraception, side effects",woman,25
"women's health, cervical cancer",woman,35
"contraception, side effects",woman,26
"contraception, side effects",man,25
"contraception, side effects",man,17
"women's health, menstruation",woman,21
"women's health, cervical cancer",woman,20
"women's health, cervical cancer",woman,30
"contraception, method recommendation",woman,19
"pregnancy, days, when fertile",man,17
"contraception, side effects",man,25
contraception,man,25
"contraception, side effects",man,17
"symptoms, discharge",man,17
"men's health, prostate",man,28
"men's health, erectile dysfunction",man,21
"contraception, side effects",woman,28
"sexual health, STI",woman,34
pregnancy,woman,29
contraception,woman,20
"contraception, side effects",woman,34
"women's health, menstruation",woman,18
"women's health, cervical cancer",woman,34
pregnancy,woman,38
"women's health, cervical cancer",woman,20
"contraception, method recommendation",woman,18
symptoms,woman,40
"contraception, side effects",woman,30
"contraception, side effects",man,33
"contraception, method recommendation",woman,32
"sexual health, having sex",woman,22
contraception,woman,19
"pregnancy, days, when fertile",woman,20
something else,woman,18
symptoms,woman,19
"contraception, method recommendation",woman,21
"contraception, side effects",man,24
"contraception, effectiveness",woman,18
"sexual health, having sex",man,20
"sexual health, STI",man,25
"sexual health, having sex",man,20
contraception,woman,19
"pregnancy, days, when fertile",man,23
something else,woman,23
"contraception, method recommendation",man,30
"sexual health, sexuality",man,19
symptoms,man,20
"contraception, side effects",man,18
"sexual health, STI",man,20
"contraception, side effects",woman,19
contraception,man,19
"contraception, method recommendation",woman,25
"contraception, method recommendation",man,30
contraception,woman,20
"sexual health, relationships",man,17
"contraception, side effects",woman,20
"contraception, side effects",man,19
"sexual health, relationships",man,18
"pregnancy, causes",woman,20
contraception,woman,36
"sexual health, having sex",man,21
"contraception, stopping",woman,22
contraception,man,23
"contraception, side effects",man,30
contraception,woman,23
contraception,woman,38
"women's health, cervical cancer",woman,32
