"gender","word","n"
"Women","mine",52
"Women","nice",52
"Women","possibility",52
"Women","prep",52
"Women","suffer",52
"Men","IUD",51
"Men","size",51
"Men","stay",51
"Women","quiz",51
"Women","sleep",51
"Men","burst",50
"Men","chance",50
"Men","conceive",50
"Men","immediately",49
"Women","itchy",49
"Women","past",49
"Women","vasectomy",49
"Men","abortion",48
"Men","active",48
"Men","effective",48
"Men","itch",48
"Women","eat",48
"Women","hv",48
"Women","penis",48
"Women","tablet",48
"Men","erection",47
"Men","herpes",47
"Men","injection",47
"Women","delivery",47
"Women","form",47
"Women","lose",47
"Women","medical",47
"Women","oral",47
"Women","side",47
"Women","spot",47
"Men","fuck",46
"Women","masturbation",46
"Women","risk",46
"Men","fast",45
"Men","late",45
"Men","suppose",45
"Women","bear",45
"Women","finish",45
"Women","gain",45
"Women","headache",45
"Women","hormone",45
"Men","bad",44
"Men","cure",44
"Men","fluid",44
"Women","dispensary",44
"Women","expect",44
"Women","free",44
"Women","insert",44
"Women","vomit",44
"Men","talk",43
"Women","reach",43
"Women","swell",43
"Women","undergo",43
"Men","complain",42
"Men","play",42
"Women","calculate",42
"Women","information",42
"Women","phone",42
"Women","virus",42
"Men","break",41
"Men","explain",41
"Women","fat",41
"Women","ovarian",41
"Women","prolong",41
"Women","stage",41
"Women","suitable",41
"Men","impregnate",40
"Women","complication",40
"Women","iucd",40
"Men","bring",39
"Men","reproductive",39
"Women","fail",39
"Women","kiss",39
"Women","play",39
"Women","size",39
"Women","spend",39
"Women","vigina",39
"Men","abdominal",38
"Men","bear",38
"Men","eat",38
"Men","menopause",38
"Men","reach",38
"Men","response",38
"Men","result",38
"Women","continue",38
"Women","kisumu",38
"Women","norplant",38
"Women","numb",38
"Women","school",38
"Men","change",37
"Men","detect",37
"Men","diet",37
"Men","quiz",37
"Men","spread",37
"Women","afraid",37
"Women","assist",37
"Women","cd",37
"Women","colour",37
"Women","ejaculate",37
"Women","emergency",37
"Women","expire",37
"Women","fear",37
"Women","natural",37
"Men","skin",36
"Women","deal",36
"Women","feedback",36
"Women","female condoms",36
"Women","one's",36
"Women","tomorrow",36
"Men","main",35
"Men","organ",35
"Men","pep",35
"Men","recommend",35
"Men","side",35
"Women","copper",35
"Women","decide",35
"Women","mensuration",35
"Women","mind",35
"Women","shave",35
"Men","contact",34
"Men","improve",34
"Men","medicine",34
"Men","risk",34
"Men","urinate",34
"Men","wet",34
"Women","candidiasis",34
"Women","determine",34
"Women","disappear",34
"Women","loose",34
"Women","measure",34
"Women","menopause",34
"Women","message",34
"Women","sti's",34
"Men","count",33
"Men","ht",33
"Men","issue",33
"Men","plan",33
"Men","wrong",33
"Women","abnormal",33
"Women","detect",33
"Women","ectopic",33
"Women","save",33
"Women","stress",33
"Men","advantage",32
"Men","agirl",32
"Men","cry",32
"Men","doctor",32
"Men","nice",32
"Men","ready",32
"Men","understand",32
"Women","advantage",32
"Women","check",32
"Women","follow",32
"Women","hard",32
"Women","libido",32
"Women","live",32
"Women","option",32
"Women","prefer",32
"Women","thankyou",32
"Men","fibroid",31
"Men","gal",31
"Men","mother",31
"Women","ad",31
"Women","deliver",31
"Women","frequent",31
"Women","imbalance",31
"Women","kit",31
"Women","pressure",31
"Women","system",31
"Women","uterus",31
"Women","womb",31
"Men","cycle",30
"Men","enjoy",30
"Men","human",30
"Men","live",30
"Men","reason",30
"Men","round",30
"Men","smell",30
"Men","stomach",30
"Women","contact",30
"Women","dangerous",30
"Women","desire",30
"Women","grow",30
"Women","money",30
"Women","nausea",30
"Women","pass",30
"Women","suck",30
"Women","unwanted",30
"Men","female condoms",29
"Men","hear",29
"Men","hospital",29
"Men","patner",29
"Men","sighns",29
"Women","ache",29
"Women","begin",29
"Women","cost",29
"Women","en",29
"Women","hope",29
"Women","offer",29
"Men","concern",28
"Men","hv",28
"Men","remove",28
"Men","reproduction",28
"Men","system",28
"Women","code",28
"Women","implanon",28
"Women","main",28
"Women","situation",28
"Women","st",28
"Women","virgina",28
"Men","agent",27
"Men","attend",27
"Men","balance",27
"Men","dick",27
"Men","discharge",27
"Men","family",27
"Men","leave",27
"Men","measure",27
"Men","process",27
"Women","barren",27
"Women","clot",27
"Women","contract",27
"Women","cyst",27
"Women","happy",27
"Women","inside",27
"Women","manage",27
"Women","moment",27
"Women","tear",27
"Women","yellow",27
"Men","chancroid",26
"Men","contract",26
"Men","lover",26
"Men","maintain",26
"Men","meet",26
"Men","premature",26
"Men","regular",26
"Men","spend",26
"Men","uti",26
"Women","apply",26
"Women","bed",26
"Women","crumps",26
"Women","home",26
"Women","hr",26
"Women","notice",26
"Women","prostate",26
"Women","rash",26
"Women","smelly",26
"Women","tube",26
"Women","water",26
"Men","circumcise",25
"Men","common",25
"Men","desire",25
"Men","duration",25
"Men","fail",25
"Men","occur",25
"Men","orgasm",25
"Men","real",25
"Men","realize",25
"Men","sti's",25
"Women","arm",25
"Women","enjoy",25
"Women","everyday",25
"Women","harmful",25
"Women","knw",25
"Women","latex",25
"Women","locate",25
"Women","produce",25
"Women","rid",25
"Women","seek",25
"Women","skin",25
"Women","specific",25
"Women","student",25
"Women","urinary",25
"Women","wash",25
"Men","awoman",24
"Men","boost",24
"Men","notice",24
"Men","service",24
"Men","testis",24
"Men","tire",24
"Women","care",24
"Women","carry",24
"Women","condition",24
"Women","frequently",24
"Women","herpes",24
"Women","milk",24
"Women","realize",24
"Women","recently",24
"Women","soap",24
"Women","track",24
"Women","transportation",24
"Women","wart",24
"Men","couple",23
"Men","future",23
"Men","guy",23
"Men","handle",23
"Men","irregular",23
"Men","learn",23
"Men","mind",23
"Men","miscarriage",23
"Men","rate",23
"Men","trust",23
"Men","worry",23
"Women","choose",23
"Women","consult",23
"Women","fuck",23
"Women","fungal",23
"Women","half",23
"Women","importance",23
"Women","itchiness",23
"Women","organ",23
"Women","ovulate",23
"Women","spin-dry",23
"Women","whitish",23
"Men","birth control",22
"Men","delay",22
"Men","free",22
"Men","happy",22
"Men","incase",22
"Men","malaria",22
"Men","mine",22
"Men","produce",22
"Men","receive",22
"Men","touch",22
"Women","arouse",22
"Women","backache",22
"Women","burn",22
"Women","connect",22
"Women","drink",22
"Women","fast",22
"Women","incase",22
"Women","injectable",22
"Women","involve",22
"Women","mpesa",22
"Women","mucus",22
"Women","pubic",22
"Women","pus",22
"Women","solution",22
"Women","spread",22
"Men","abstain",21
"Men","assist",21
"Men","causative",21
"Men","factor",21
"Men","fear",21
"Men","knw",21
"Men","manage",21
"Men","rush",21
"Men","solution",21
"Men","vaginal",21
"Men","wht",21
"Women","amount",21
"Women","brown",21
"Women","chat",21
"Women","clean",21
"Women","difference",21
"Women","growth",21
"Women","hair",21
"Women","harm",21
"Women","light",21
"Women","patner",21
"Women","regularly",21
"Women","respond",21
"Women","retryimmediately",21
"Women","scare",21
"Women","terminate",21
"Women","twin",21
"Women","virginia",21
"Women","wear",21
"Women","wet",21
"Women","withdrawal",21
"Women","women's",21
"Women","youth",21
"Men","approach",20
"Men","emergency pills",20
"Men","enlarge",20
"Men","information",20
"Men","medication",20
"Men","oral",20
"Men","position",20
"Men","possibility",20
"Men","procedure",20
"Men","relate",20
"Men","tomorrow",20
"Men","urine",20
"Men","youth",20
"Women","accord",20
"Women","antibiotic",20
"Women","april",20
"Women","barrenness",20
"Women","black",20
"Women","comfortable",20
"Women","completely",20
"Women","conception",20
"Women","county",20
"Women","duration",20
"Women","femi",20
"Women","hand",20
"Women","implantation",20
"Women","limit",20
"Women","loss",20
"Women","matter",20
"Women","ovary",20
"Women","real",20
"Women","refuse",20
"Women","sick",20
"Women","skip",20
"Men","de",19
"Men","form",19
"Men","kisumu",19
"Men","lose",19
"Men","musterbation",19
"Men","st",19
"Men","weight",19
"Women","arvs",19
"Women","burst",19
"Women","charge",19
"Women","circle",19
"Women","concieve",19
"Women","cram",19
"Women","da",19
"Women","dark",19
"Women","feed",19
"Women","forget",19
"Women","hurt",19
"Women","inject",19
"Women","lack",19
"Women","leg",19
"Women","maintain",19
"Women","monday",19
"Women","move",19
"Women","position",19
"Women","process",19
"Women","remedy",19
"Women","reproduction",19
"Women","screen",19
"Women","share",19
"Women","sore",19
"Women","substance",19
"Women","tire",19
"Women","tummy",19
"Women","yellowish",19
"Men","act",18
"Men","addict",18
"Men","ago",18
"Men","alady",18
"Men","calculate",18
"Men","continue",18
"Men","dnt",18
"Men","due",18
"Men","growth",18
"Men","perform",18
"Men","performance",18
"Men","pimple",18
"Men","semen",18
"Men","situation",18
"Men","swell",18
"Women","add",18
"Women","boil",18
"Women","complain",18
"Women","cream",18
"Women","develop",18
"Women","excessive",18
"Women","fee",18
"Women","helpful",18
"Women","interfere",18
"Women","jadelle",18
"Women","july",18
"Women","orgasm",18
"Women","unmarried",18
"Women","weak",18
"Men","afraid",17
"Men","carry",17
"Men","deal",17
"Men","difference",17
"Men","dream",17
"Men","function",17
"Men","hard",17
"Men","inside",17
"Men","loose",17
"Men","medical",17
"Men","pass",17
"Men","physical",17
"Men","practice",17
"Men","realy",17
"Men","school",17
"Men","style",17
"Men","water",17
"Women","appetite",17
"Women","assistance",17
"Women","august",17
"Women","buy",17
"Women","center",17
"Women","chancroid",17
"Women","confirm",17
"Women","couple",17
"Women","dick",17
"Women","diet",17
"Women","erection",17
"Women","exercise",17
"Women","expectant",17
"Women","fistula",17
"Women","glad",17
"Women","human",17
"Women","irritation",17
"Women","job",17
"Women","maximum",17
"Women","nipple",17
"Women","oil",17
"Women","pay",17
"Women","pelvic",17
"Women","pep",17
"Women","postinor",17
"Women","realise",17
"Women","realy",17
"Women","remain",17
"Women","round",17
"Women","sana",17
"Women","sighns",17
"Women","tract",17
"Women","ua",17
"Men","begin",16
"Men","cramp",16
"Men","delivery",16
"Men","erectile",16
"Men","fat",16
"Men","frequent",16
"Men","hormone",16
"Men","lubricant",16
"Men","miss",16
"Men","mood",16
"Men","overcome",16
"Men","pussy",16
"Men","remain",16
"Men","status",16
"Men","stress",16
"Men","urethra",16
"Men","virginity",16
"Men","visit",16
"Men","vomit",16
"Men","withdrawal",16
"Men","yeast",16
"Women","access",16
"Women","agent",16
"Women","ama",16
"Women","bless",16
"Women","challenge",16
"Women","cum",16
"Women","function",16
"Women","january",16
"Women","pant",16
"Women","practice",16
"Women","request",16
"Women","require",16
"Women","rush",16
"Women","support",16
"Women","tel",16
"Women","tend",16
"Women","thrice",16
"Women","usual",16
"Women","virginal",16
"Women","wise",16
"Men","check",15
"Men","condition",15
"Men","county",15
"Men","determine",15
"Men","dysfunction",15
"Men","involve",15
"Men","natural",15
"Men","prefer",15
"Men","realise",15
"Men","scrotum",15
"Men","send",15
"Men","specific",15
"Men","undergo",15
"Men","virgina",15
"Men","wear",15
"Men","white",15
"Men","women's",15
"Men","word",15
"Men","yesterday",15
"Women","act",15
"Women","activity",15
"Women","danger",15
"Women","de",15
"Women","easily",15
"Women","excess",15
"Women","factor",15
"Women","grateful",15
"Women","hygiene",15
"Women","improve",15
"Women","labour",15
"Women","pils",15
"Women","protective",15
"Women","rate",15
"Women","reliable",15
"Women","scratch",15
"Women","sunday",15
"Women","swallow",15
"Women","teenager",15
"Women","touch",15
"Women","tubal",15
"Women","unprotected",15
"Women","vain",15
"Women","viginal",15
"Men","addiction",14
"Men","arvs",14
"Men","bless",14
"Men","convince",14
"Men","deep",14
"Men","develop",14
"Men","ensure",14
"Men","exercise",14
"Men","exist",14
"Men","eye",14
"Men","feedback",14
"Men","fill",14
"Men","flow",14
"Men","god",14
"Men","grow",14
"Men","harmful",14
"Men","heat",14
"Men","mature",14
"Men","reply",14
"Men","safety",14
"Men","sick",14
"Men","sire",14
"Men","tablet",14
"Men","tear",14
"Women","anytime",14
"Women","balance",14
"Women","bite",14
"Women","discomfort",14
"Women","dnt",14
"Women","fall",14
"Women","friday",14
"Women","join",14
"Women","kama",14
"Women","kill",14
"Women","kwa",14
"Women","lump",14
"Women","mouth",14
"Women","october",14
"Women","odour",14
"Women","operation",14
"Women","physical",14
"Women","pl",14
"Women","ps",14
"Women","relate",14
"Women","removal",14
"Women","saturday",14
"Women","stretch",14
"Women","style",14
"Women","teach",14
"Women","ten",14
"Women","thin",14
"Women","topic",14
"Women","uterine",14
"Women","wake",14
"Women","ward",14
"Women","wk",14
"Men","allu",13
"Men","anal",13
"Men","arjun",13
"Men","chat",13
"Men","complication",13
"Men","contraseptives",13
"Men","deliver",13
"Men","everyday",13
"Men","expire",13
"Men","facility",13
"Men","finish",13
"Men","fistula",13
"Men","follow",13
"Men","infected",13
"Men","interfere",13
"Men","job",13
"Men","kemoda",13
"Men","latex",13
"Men","okoth",13
"Men","protective",13
"Men","spot",13
"Men","strong",13
"Men","text",13
"Men","treatable",13
"Men","viagra",13
"Women","advance",13
"Women","alright",13
"Women","awoman",13
"Women","ball",13
"Women","boost",13
"Women","circumcise",13
"Women","contraseptives",13
"Women","dear",13
"Women","die",13
"Women","difficult",13
"Women","easy",13
"Women","exist",13
"Women","fill",13
"Women","god",13
"Women","handle",13
"Women","hellow",13
"Women","hubby",13
"Women","inplant",13
"Women","level",13
"Women","likewise",13
"Women","lover",13
"Women","mark",13
"Women","mature",13
"Women","nairobi",13
"Women","normaly",13
"Women","pick",13
"Women","pple",13
"Women","premature",13
"Women","procedure",13
"Women","red",13
"Women","sharp",13
"Women","single",13
"Women","stain",13
"Women","suit",13
"Women","tampon",13
"Women","tip",13
"Women","university",13
"Women","urge",13
"Women","urination",13
"Women","wanna",13
"Women","wit",13
"Men","apply",12
"Men","arouse",12
"Men","challenge",12
"Men","cum",12
"Men","curable",12
"Men","dangerous",12
"Men","hormonal",12
"Men","likewise",12
"Men","office",12
"Men","option",12
"Men","ovarian",12
"Men","power",12
"Men","rash",12
"Men","refuse",12
"Men","remedy",12
"Men","request",12
"Men","research",12
"Men","respond",12
"Men","testicle",12
"Men","transmission",12
"Men","wit",12
"Women","belly",12
"Women","continuous",12
"Women","contribute",12
"Women","convince",12
"Women","cut",12
"Women","death",12
"Women","extend",12
"Women","heal",12
"Women","heart",12
"Women","hpv",12
"Women","humble",12
"Women","include",12
"Women","kenya",12
"Women","march",12
"Women","mention",12
"Women","mess",12
"Women","mood",12
"Women","moth",12
"Women","niko",12
"Women","nowadays",12
"Women","pad",12
"Women","painkiller",12
"Women","patch",12
"Women","patient",12
"Women","pee",12
"Women","plant",12
"Women","pre",12
"Women","previous",12
"Women","provera",12
"Women","romance",12
"Women","sister",12
"Women","staff",12
"Women","starter",12
"Women","status",12
"Women","strong",12
"Women","surgical",12
"Women","tenderness",12
"Women","tight",12
"Women","waist",12
"Men","activity",11
"Men","aperson",11
"Men","assistance",11
"Men","attract",11
"Men","average",11
"Men","bite",11
"Men","boil",11
"Men","breastfeed",11
"Men","care",11
"Men","correct",11
"Men","decide",11
"Men","easily",11
"Men","expect",11
"Men","feed",11
"Men","geting",11
"Men","goodnight",11
"Men","hair",11
"Men","hand",11
"Men","headache",11
"Men","hope",11
"Men","instance",11
"Men","mate",11
"Men","moment",11
"Men","patient",11
"Men","pleasure",11
"Men","prolong",11
"Men","pus",11
"Men","rape",11
"Men","red",11
"Men","spouse",11
"Men","suitable",11
"Men","teenage",11
"Men","tip",11
"Men","totally",11
"Men","track",11
"Men","victim",11
"Men","weak",11
"Men","wich",11
"Women","abstain",11
"Women","agirl",11
"Women","ahead",11
"Women","alady",11
"Women","anymore",11
"Women","aproblem",11
"Women","aware",11
"Women","calendar",11
"Women","cervix",11
"Women","close",11
"Women","communicate",11
"Women","contraseptive",11
"Women","dec",11
"Women","depend",11
"Women","direct",11
"Women","discourage",11
"Women","district",11
"Women","fallopian",11
"Women","gal",11
"Women","iv",11
"Women","jakadala",11
"Women","knowledge",11
"Women","ligation",11
"Women","liquid",11
"Women","location",11
"Women","malaria",11
"Women","permanent",11
"Women","pleasure",11
"Women","pm",11
"Women","prescribe",11
"Women","rape",11
"Women","refer",11
"Women","risky",11
"Women","sensation",11
"Women","september",11
"Women","sickness",11
"Women","sindano",11
"Women","sms",11
"Women","stand",11
"Women","stomachache",11
"Women","suggest",11
"Women","sweet",11
"Women","utis",11
"Women","wall",11
"Women","weekend",11
"Men","action",10
"Men","anytime",10
"Men","arise",10
"Men","cd",10
"Men","cold",10
"Men","cyst",10
"Men","danger",10
"Men","desease",10
"Men","easy",10
"Men","enter",10
"Men","glad",10
"Men","helpful",10
"Men","impact",10
"Men","inform",10
"Men","intercouse",10
"Men","locate",10
"Men","mensuration",10
"Men","message",10
"Men","money",10
"Men","myth",10
"Men","numb",10
"Men","offer",10
"Men","prove",10
"Men","purpose",10
"Men","satisfaction",10
"Men","scream",10
"Men","screen",10
"Men","sing",10
"Men","student",10
"Men","sweat",10
"Men","ulcer",10
"Men","urinary",10
"Men","womb",10
"Women","alternative",10
"Women","associate",10
"Women","bacterial",10
"Women","bungoma",10
"Women","centre",10
"Women","circumcision",10
"Women","clitoris",10
"Women","consecutive",10
"Women","cord",10
"Women","deep",10
"Women","disorder",10
"Women","dryness",10
"Women","foetus",10
"Women","forward",10
"Women","guess",10
"Women","insertion",10
"Women","intercouse",10
"Women","kuna",10
"Women","major",10
"Women","massage",10
"Women","mini",10
"Women","operate",10
"Women","parent",10
"Women","pregnat",10
"Women","production",10
"Women","productive",10
"Women","provider",10
"Women","referral",10
"Women","remember",10
"Women","remind",10
"Women","safety",10
"Women","scan",10
"Women","semen",10
"Women","shape",10
"Women","shida",10
"Women","shoot",10
"Women","son",10
"Women","suddenly",10
"Women","switch",10
"Women","trust",10
"Women","uncomfortable",10
"Women","webuye",10
"Women","wound",10
"Men","accept",9
"Men","alright",9
"Men","bacterial",9
"Men","bye",9
"Men","cut",9
"Men","depend",9
"Men","depo",9
"Men","difficulty",9
"Men","disappear",9
"Men","drink",9
"Men","energy",9
"Men","excess",9
"Men","gain",9
"Men","grateful",9
"Men","heavy",9
"Men","home",9
"Men","identify",9
"Men","inactive",9
"Men","individual",9
"Men","itchy",9
"Men","kenya",9
"Men","men's",9
"Men","oil",9
"Men","pennis",9
"Men","percent",9
"Men","post",9
"Men","previous",9
"Men","regularly",9
"Men","relation",9
"Men","rest",9
"Men","scratch",9
"Men","seduce",9
"Men","sensitive",9
"Men","sexuality",9
"Men","single",9
"Men","siphilis",9
"Men","solve",9
"Men","sore",9
"Men","support",9
"Men","teach",9
"Men","temperature",9
"Men","throat",9
"Men","topic",9
"Men","twin",9
"Men","ua",9
"Men","unborn",9
"Men","uterine",9
"Men","wind",9
"Men","wow",9
"Women","account",9
"Women","aftr",9
"Women","alcohol",9
"Women","award",9
"Women","barreness",9
"Women","becouse",9
"Women","blockage",9
"Women","cell",9
"Women","chemist",9
"Women","class",9
"Women","confuse",9
"Women","damage",9
"Women","difficulty",9
"Women","dirty",9
"Women","efficient",9
"Women","ensure",9
"Women","gender",9
"Women","head",9
"Women","herbal",9
"Women","hip",9
"Women","ht",9
"Women","identify",9
"Women","individual",9
"Women","inflammation",9
"Women","inform",9
"Women","intrested",9
"Women","kg",9
"Women","kidney",9
"Women","kiswahili",9
"Women","lubricant",9
"Women","mistake",9
"Women","pregnacy",9
"Women","professional",9
"Women","public",9
"Women","recieved",9
"Women","redeem",9
"Women","relieve",9
"Women","resume",9
"Women","shilling",9
"Women","sigh",9
"Women","sit",9
"Women","thnk",9
"Women","town",9
"Women","treatable",9
"Women","ulcer",9
"Women","unsafe",9
"Women","user",9
"Women","west",9
"Women","wow",9
"Men","ache",8
"Men","acquire",8
"Men","aproblem",8
"Men","barren",8
"Men","carrier",8
"Men","centre",8
"Men","claim",8
"Men","concieve",8
"Men","confuse",8
"Men","continuous",8
"Men","copulation",8
"Men","couses",8
"Men","death",8
"Men","educate",8
"Men","failure",8
"Men","fall",8
"Men","finger",8
"Men","fit",8
"Men","foetus",8
"Men","forget",8
"Men","harm",8
"Men","hemorrhoid",8
"Men","hr",8
"Men","insist",8
"Men","length",8
"Men","lick",8
"Men","matter",8
"Men","moth",8
"Men","mustabation",8
"Men","musturbation",8
"Men","noise",8
"Men","nowadays",8
"Men","organisation",8
"Men","pregnacy",8
"Men","production",8
"Men","productive",8
"Men","role",8
"Men","saliva",8
"Men","shy",8
"Men","specifically",8
"Men","stand",8
"Men","statement",8
"Men","sweet",8
"Men","teenager",8
"Men","ten",8
"Men","wn",8
"Women","abstinence",8
"Women","acne",8
"Women","addict",8
"Women","anal",8
"Women","attention",8
"Women","base",8
"Women","btn",8
"Women","busy",8
"Women","causative",8
"Women","chart",8
"Women","circumstance",8
"Women","clarify",8
"Women","client",8
"Women","color",8
"Women","continuously",8
"Women","correct",8
"Women","couse",8
"Women","crumb",8
"Women","daughter",8
"Women","december",8
"Women","diagnose",8
"Women","disturb",8
"Women","dizziness",8
"Women","doc",8
"Women","effectiveness",8
"Women","erect",8
"Women","eye",8
"Women","failure",8
"Women","father",8
"Women","friction",8
"Women","greatful",8
"Women","healthcare",8
"Women","highway",8
"Women","house",8
"Women","idea",8
"Women","infected",8
"Women","intimate",8
"Women","katakana",8
"Women","kutumia",8
"Women","lamp",8
"Women","mimba",8
"Women","mite",8
"Women","mnth",8
"Women","nearby",8
"Women","november",8
"Women","overcome",8
"Women","peel",8
"Women","posible",8
"Women","programme",8
"Women","provide",8
"Women","pussy",8
"Women","react",8
"Women","recur",8
"Women","refferal",8
"Women","regain",8
"Women","relation",8
"Women","repeat",8
"Women","someone's",8
"Women","specifically",8
"Women","stil",8
"Women","stope",8
"Women","stuff",8
"Women","thrush",8
"Women","tiredness",8
"Women","tl",8
"Women","travel",8
"Women","unable",8
"Women","unborn",8
"Women","upper",8
"Women","usage",8
"Women","uzazi",8
"Women","wht",8
"Women","wind",8
"Women","word",8
"Women","yangu",8
"Men","absolutely",7
"Men","accidentally",7
"Men","add",7
"Men","allergic",7
"Men","alternative",7
"Men","applicable",7
"Men","arm",7
"Men","asex",7
"Men","attack",7
"Men","circle",7
"Men","class",7
"Men","clean",7
"Men","clot",7
"Men","colour",7
"Men","conception",7
"Men","confirm",7
"Men","cost",7
"Men","counsel",7
"Men","cram",7
"Men","credit",7
"Men","da",7
"Men","damage",7
